Name,Organization,Status
James Madison,Federal Government,Member
Daniel D. Tompkins,Federal Government,Member
John Quincy Adams,Federal Government,Member
Daniel Brent,Federal Government,Member
Richard,Federal Government,Member
John B. Colvin,Federal Government,Member
Josias W. King,Federal Government,Member
Moses Young,Federal Government,Member
John Bailey,Federal Government,Member
Andrew T. McCormick,Federal Government,Member
Fontaine Maury,Federal Government,Member
Thomas L. Thurston,Federal Government,Member
George E. Ironside,Federal Government,Member
Joseph Waring,Federal Government,Member
William Maul,Federal Government,Member
William Thornton,Federal Government,Member
William Elliot,Federal Government,Member
Robert W. Fenwick,Federal Government,Member
William H. Crawford,Federal Government,Member
Edward Jones,Federal Government,Member
James L. Anthony,Federal Government,Member
Asbury Dickens,Federal Government,Member
Thomas Dungan,Federal Government,Member
Samuel M. McKean,Federal Government,Member
William Gibson,Federal Government,Member
Robert Newell,Federal Government,Member
John Connell,Federal Government,Member
William Eisenbeck,Federal Government,Member
Alexander Watson,Federal Government,Member
Joseph Anderson,Federal Government,Member
John Laub,Federal Government,Member
Samuel Hanson,Federal Government,Member
William Williamson,Federal Government,Member
Lund Washington,Federal Government,Member
William Anderson,Federal Government,Member
John Woodside,Federal Government,Member
Charles P. Polk,Federal Government,Member
Richard S. Briscoe,Federal Government,Member
James Larned,Federal Government,Member
John Burke,Federal Government,Member
Benjamin Harrison,Federal Government,Member
Thomas F. Auderson,Federal Government,Member
David P. Polk,Federal Government,Member
Pontius D. Stelle,Federal Government,Member
Samuel P. Webster,Federal Government,Member
John N. Lovejoy,Federal Government,Member
Richard Cutts,Federal Government,Member
Enoch Reynolds,Federal Government,Member
John N. Moulder,Federal Government,Member
Jonathan Seaver,Federal Government,Member
Joseph Hinkley,Federal Government,Member
John Ward,Federal Government,Member
John H. Lowe,Federal Government,Member
Aaron Vail,Federal Government,Member
Madison Cutts,Federal Government,Member
John Sessford,Federal Government,Member
Richard Harrison,Federal Government,Member
William Parker,Federal Government,Member
Jeremiah Williams,Federal Government,Member
William Moreton,Federal Government,Member
Ezekiel King,Federal Government,Member
John Coyle,Federal Government,Member
James Watson,Federal Government,Member
"John Coyle, Jun.",Federal Government,Member
Thomas G. Slye,Federal Government,Member
William Felch,Federal Government,Member
John Underwood,Federal Government,Member
Thomas Barclay,Federal Government,Member
Charles B. Davis,Federal Government,Member
William Lee,Federal Government,Member
James Eakin,Federal Government,Member
"John Wells, Jun",Federal Government,Member
John Peters,Federal Government,Member
Samuel Lewis,Federal Government,Member
William Steuart,Federal Government,Member
Richard M. Boyer,Federal Government,Member
Ignatius Boone,Federal Government,Member
Robert Ellis,Federal Government,Member
Andrew C. Mitchell,Federal Government,Member
William Mechlin,Federal Government,Member
Richard B. Maury,Federal Government,Member
Leonard Mackall,Federal Government,Member
Andrew M. Kirk,Federal Government,Member
B. Mackall,Federal Government,Member
Samuel Hoot,Federal Government,Member
Peter Hagner,Federal Government,Member
James Thompson,Federal Government,Member
Charles Vinson,Federal Government,Member
John Abbott,Federal Government,Member
Richard Burgess,Federal Government,Member
Christopher Andrews,Federal Government,Member
Edward S. Lewis,Federal Government,Member
Thomas Cook,Federal Government,Member
Robert Read,Federal Government,Member
James Kincaid,Federal Government,Member
Bennett Clements,Federal Government,Member
William Cook,Federal Government,Member
William Ramsay,Federal Government,Member
Peter G. Washington,Federal Government,Member
Marcus Latimer,Federal Government,Member
Lloyd M. Lowe,Federal Government,Member
Henry Whetcroft,Federal Government,Member
James Montgomery,Federal Government,Member
John Compton,Federal Government,Member
"James Davidson, Jun",Federal Government,Member
Henry C. Matthews,Federal Government,Member
Samuel Goddard,Federal Government,Member
Thomas Gunton,Federal Government,Member
Charles Cruikshank,Federal Government,Member
Henry Randall,Federal Government,Member
Wm. S. Wilkin,Federal Government,Member
Wm. Lenman,Federal Government,Member
Thomas Dove,Federal Government,Member
Constant Freeman,Federal Government,Member
Thomas H. Gillis,Federal Government,Member
George Macdaniel,Federal Government,Member
Joseph Mechlin,Federal Government,Member
John Macdaniel,Federal Government,Member
Ezekiel Macdaniel,Federal Government,Member
Henry Forrest,Federal Government,Member
Robert Getty,Federal Government,Member
John Craven,Federal Government,Member
Wiliam W. Clagett,Federal Government,Member
James H. Handy,Federal Government,Member
James Cassin,Federal Government,Member
John B. Martin,Federal Government,Member
George Gillis,Federal Government,Member
Thomas I. Sutherland,Federal Government,Member
Stephen Pleasouton,Federal Government,Member
Andrew Ross,Federal Government,Member
Thomas Mastin,Federal Government,Member
