Name,Organization,Status
Jacob Brown,US Army,Member
Edmund P. Gaines,US Army,Member
Winfield Scott,US Army,Member
Thomas S. Jesup,US Army,Member
James Gadsden,US Army,Member
John E. Wool,US Army,Member
William Linnard,US Army,Member
Henry Stanton,US Army,Member
Peter Fayssoux,US Army,Member
Samuel Perkins,US Army,Member
John D. Orr,US Army,Member
H. A. Fay,US Army,Member
George Gibson,US Army,Member
Callender Irvine,US Army,Member
Archibald Steele,US Army,Member
D. Parker,US Army,Member
Thomas Wright,US Army,Member
Asher Phillips,US Army,Member
Alphonso Whetmore,US Army,Member
Benjamin F. Larned,US Army,Member
Satterlee Clark,US Army,Member
Joseph Woodruff,US Army,Member
David Gwynn,US Army,Member
D. S. Townsend,US Army,Member
Jacob W. Albright,US Army,Member
Charles B. Tallmadge,US Army,Member
Daniel Randall,US Army,Member
Charles H. Smith,US Army,Member
Thomas Biddle,US Army,Member
A. A. Massias,US Army,Member
Joseph Lovell,US Army,Member
Thomas Lawson,US Army,Member
Thomas G. Mower,US Army,Member
B. F. Harney,US Army,Member
W. V. Wheaton,US Army,Member
M. H. Elliot,US Army,Member
John Gale,US Army,Member
Josiah Everett,US Army,Member
E. Purcell,US Army,Member
G. W. Maupin,US Army,Member
Joseph Goodhue,US Army,Member
James H. Sargeant,US Army,Member
Sylvester Day,US Army,Member
William Ballard,US Army,Member
William Turner,US Army,Member
Hanson Catlett,US Army,Member
Foster Swift,US Army,Member
T. I. C. Monroe,US Army,Member
Samuel B. Smith ,US Army,Member
James Mann,US Army,Member
J. Wallace,US Army,Member
William Stewart,US Army,Member
Joseph Eaton,US Army,Member
B. Delavan,US Army,Member
Robert Archer,US Army,Member
George C. Clitherall,US Army,Member
Squire Lea,US Army,Member
Joseph P. Russel,US Army,Member
Richard Weightman,US Army,Member
W. H. Livingston,US Army,Member
J. P. C. Macmahon,US Army,Member
Wiliam Beaumont,US Army,Member
Wiliam H. Nicoll,US Army,Member
Robert French,US Army,Member
Charles N. McCoskrey,US Army,Member
James Cu*bush,US Army,Member
William S. Comstock,US Army,Member
Richard Randall,US Army,Member
George B. McKnight,US Army,Member
Lyman Foot,US Army,Member
Thomas P. Hall,US Army,Member
S. H. Littlejohn,US Army,Member
C.  A. Finley,US Army,Member
Charles Mendenhall,US Army,Member
R. M. Coleman,US Army,Member
Benjamin King,US Army,Member
A. P. Merrill,US Army,Member
H. F. Hall,US Army,Member
Preistly H. Craig,US Army,Member
Charles Sloan,US Army,Member
John Jackson,US Army,Member
John A. Brereton,US Army,Member
