Name,Organization,Status
Samuel Harrison Smith,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Hunter,Columbian Institute for the Promotion of Arts and Sciences,Member
John Law,Columbian Institute for the Promotion of Arts and Sciences,Member
Alexander McWilliams,Columbian Institute for the Promotion of Arts and Sciences,Member
Edward Cutbush,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Law,Columbian Institute for the Promotion of Arts and Sciences,Member
John Quincy Adams,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Jackson,Columbian Institute for the Promotion of Arts and Sciences,Member
John C. Calhoun,Columbian Institute for the Promotion of Arts and Sciences,Member
Henry Clay,Columbian Institute for the Promotion of Arts and Sciences,Member
William H. Crawford,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Rush,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel D. Ingham,Columbian Institute for the Promotion of Arts and Sciences,Member
James Barbour,Columbian Institute for the Promotion of Arts and Sciences,Member
Joel R. Poinsett,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel L. Southard,Columbian Institute for the Promotion of Arts and Sciences,Member
Mahlon Dickerson,Columbian Institute for the Promotion of Arts and Sciences,Member
John M. Berrien,Columbian Institute for the Promotion of Arts and Sciences,Member
William Wirt,Columbian Institute for the Promotion of Arts and Sciences,Member
John McLean,Columbian Institute for the Promotion of Arts and Sciences,Member
William T. Barry,Columbian Institute for the Promotion of Arts and Sciences,Member
Simon Bernard,Columbian Institute for the Promotion of Arts and Sciences,Member
George Gibson,Columbian Institute for the Promotion of Arts and Sciences,Member
Alexander Macomb,Columbian Institute for the Promotion of Arts and Sciences,Member
George Bomford,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathan Towson,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Lovell,Columbian Institute for the Promotion of Arts and Sciences,Member
J. A. Brereton,Columbian Institute for the Promotion of Arts and Sciences,Member
John Rodgers,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Tingey,Columbian Institute for the Promotion of Arts and Sciences,Member
Charles Wilkes,Columbian Institute for the Promotion of Arts and Sciences,Member
Bailey square,Columbian Institute for the Promotion of Arts and Sciences,Member
William Cranch,Columbian Institute for the Promotion of Arts and Sciences,Member
Buckner Thruston,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Bland Lee,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathaniel P. Causin,Columbian Institute for the Promotion of Arts and Sciences,Member
Elias B. Caldwell,Columbian Institute for the Promotion of Arts and Sciences,Member
William Brent,Columbian Institute for the Promotion of Arts and Sciences,Member
William Thornton,Columbian Institute for the Promotion of Arts and Sciences,Member
Josiah Meigs,Columbian Institute for the Promotion of Arts and Sciences,Member
George Watterston,Columbian Institute for the Promotion of Arts and Sciences,Member
Phineas Bradley,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel Lane,Columbian Institute for the Promotion of Arts and Sciences,Member
William Noland,Columbian Institute for the Promotion of Arts and Sciences,Member
Matthew St. Clair Clarke,Columbian Institute for the Promotion of Arts and Sciences,Member
Asbury Dickins,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas L. Thurston,Columbian Institute for the Promotion of Arts and Sciences,Member
Benjamin Homans,Columbian Institute for the Promotion of Arts and Sciences,Member
Walter Jones,Columbian Institute for the Promotion of Arts and Sciences,Member
William Lambert,Columbian Institute for the Promotion of Arts and Sciences,Member
William Elliot,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Anderson,Columbian Institute for the Promotion of Arts and Sciences,Member
John Underwood,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathaniel Cutting,Columbian Institute for the Promotion of Arts and Sciences,Member
Robert King,Columbian Institute for the Promotion of Arts and Sciences,Member
Isaac Roberdeau,Columbian Institute for the Promotion of Arts and Sciences,Member
"William Hewitt,",Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Munroe,Columbian Institute for the Promotion of Arts and Sciences,Member
William Prout,Columbian Institute for the Promotion of Arts and Sciences,Member
Robert Brent,Columbian Institute for the Promotion of Arts and Sciences,Member
Daniel Rapine,Columbian Institute for the Promotion of Arts and Sciences,Member
James H. Blake,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Carbery,Columbian Institute for the Promotion of Arts and Sciences,Member
Roger C. Weightman,Columbian Institute for the Promotion of Arts and Sciences,Member
"Joseph Gales, jr",Columbian Institute for the Promotion of Arts and Sciences,Member
