Organization,shape,color,location,size
American Philosophical Society,circle,orange,Other,1024
American Academy of Arts and Sciences,circle,orange,Other,651
Academy of Natural Sciences,circle,orange,Other,607
Columbian Institute for the Promotion of Arts and Sciences,circle,red,Washington,117
Columbian Agricultural Society,circle,red,Washington,60
Medical Society of the District of Columbia,circle,red,Washington,38
National Institute for the Promotion of Science,circle,red,Washington,303
American Association for the Advancement of Science,circle,red,Washington,651
United States Military Philosophical Society,circle,orange,Other,212
Baptist General Convention,circle,orange,Other,81
1822 Army,circle,orange,Government,569
Federal Government,circle,red,Government,264
1816 Army,circle,orange,Government,685
1841 Federal Government,circle,red,Government,629
